frame.number;frame.time;frame.len;frame.protocols;ip.proto;ip.src;tcp.srcport;udp.srcport;ip.dst;tcp.dstport;udp.dstport
98;May 20, 2017 17:08:32.776145000 JST;104;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
99;May 20, 2017 17:08:32.776250000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
100;May 20, 2017 17:08:32.781443000 JST;66;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
101;May 20, 2017 17:08:32.821176000 JST;1164;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
102;May 20, 2017 17:08:32.821264000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
103;May 20, 2017 17:08:32.821366000 JST;112;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
104;May 20, 2017 17:08:32.821409000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
105;May 20, 2017 17:08:32.821736000 JST;112;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
106;May 20, 2017 17:08:32.826216000 JST;73;eth:ethertype:ip:udp:dns;17;192.168.3.13;;49161;192.168.3.1;;53
107;May 20, 2017 17:08:32.846192000 JST;265;eth:ethertype:ip:udp:dns;17;192.168.3.1;;53;192.168.3.13;;49161
108;May 20, 2017 17:08:32.846967000 JST;78;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
109;May 20, 2017 17:08:32.861042000 JST;74;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
110;May 20, 2017 17:08:32.861140000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
111;May 20, 2017 17:08:32.861640000 JST;289;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
112;May 20, 2017 17:08:32.877398000 JST;66;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
113;May 20, 2017 17:08:32.879991000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
114;May 20, 2017 17:08:32.880400000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
115;May 20, 2017 17:08:32.880448000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
116;May 20, 2017 17:08:32.881348000 JST;1514;eth:ethertype:ip:tcp:ssl:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:pkix1implicit:x509ce:pkix1explicit:x509ce:x509ce:x509ce:x509ce:x509ce:pkcs-1:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:pkix1explicit:pkcs-1:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
117;May 20, 2017 17:08:32.881456000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
118;May 20, 2017 17:08:32.881681000 JST;1197;eth:ethertype:ip:tcp:ssl:ocsp:x509af:pkcs-1:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:ocsp:x509ce:pkix1explicit:x509ce:x509ce:pkcs-1:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
119;May 20, 2017 17:08:32.881732000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
120;May 20, 2017 17:08:32.904706000 JST;141;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
121;May 20, 2017 17:08:32.904706000 JST;72;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
122;May 20, 2017 17:08:32.904706000 JST;111;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
123;May 20, 2017 17:08:32.920812000 JST;66;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
124;May 20, 2017 17:08:32.921307000 JST;117;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
125;May 20, 2017 17:08:32.921377000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
126;May 20, 2017 17:08:32.922721000 JST;119;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
127;May 20, 2017 17:08:32.922776000 JST;116;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
128;May 20, 2017 17:08:32.922777000 JST;108;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
129;May 20, 2017 17:08:32.922807000 JST;1253;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
130;May 20, 2017 17:08:32.937482000 JST;123;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
131;May 20, 2017 17:08:32.937551000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
132;May 20, 2017 17:08:32.937711000 JST;104;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
133;May 20, 2017 17:08:32.938030000 JST;104;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
134;May 20, 2017 17:08:32.938118000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
135;May 20, 2017 17:08:32.945492000 JST;66;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
136;May 20, 2017 17:08:32.983753000 JST;104;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
137;May 20, 2017 17:08:32.991475000 JST;66;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
138;May 20, 2017 17:08:32.998066000 JST;78;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
139;May 20, 2017 17:08:33.635728000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
140;May 20, 2017 17:08:33.635733000 JST;1406;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
141;May 20, 2017 17:08:33.635734000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
142;May 20, 2017 17:08:33.635736000 JST;1406;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
143;May 20, 2017 17:08:33.635777000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
144;May 20, 2017 17:08:33.635851000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
145;May 20, 2017 17:08:33.635852000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
146;May 20, 2017 17:08:33.635900000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
147;May 20, 2017 17:08:33.636000000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
148;May 20, 2017 17:08:33.636005000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
149;May 20, 2017 17:08:33.636059000 JST;1298;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
150;May 20, 2017 17:08:33.636078000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
151;May 20, 2017 17:08:33.636117000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
152;May 20, 2017 17:08:33.636118000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
153;May 20, 2017 17:08:33.636564000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
154;May 20, 2017 17:08:33.636568000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
155;May 20, 2017 17:08:33.636569000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
156;May 20, 2017 17:08:33.636624000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
157;May 20, 2017 17:08:33.636678000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
158;May 20, 2017 17:08:33.652215000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
159;May 20, 2017 17:08:33.652331000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
160;May 20, 2017 17:08:33.652519000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
161;May 20, 2017 17:08:33.654561000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
162;May 20, 2017 17:08:33.654774000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
